event_n,event_clusters,n_hits,energy_value
0,0,17966,145.739
0,52,510,72.889
1,0,17706,143.651
1,6,504,69.353
2,0,17810,144.553
2,64,504,73.808
3,0,17978,145.66
3,86,536,76.423
4,0,17650,143.128
4,21,499,76.28
5,0,17805,144.004
5,16,616,78.295
5,62,1,0.036
6,0,18069,147.16
6,36,523,73.876
7,0,17890,145.383
7,42,530,72.776
8,0,17757,143.847
8,65,533,71.819
8,80,1,0.022
9,0,17899,143.713
9,78,548,71.828
10,0,17837,143.969
10,18,577,71.552
11,0,17826,144.207
11,17,527,73.799
12,0,17944,146.138
12,64,536,73.15
13,0,18058,144.984
13,186,684,75.979
14,0,18117,148.627
14,109,541,70.502
14,245,3,0.093
15,0,17887,144.378
15,26,542,71.872
15,252,1,0.006
16,0,17832,143.872
16,19,1,0.025
16,87,527,72.659
17,0,17997,145.493
17,52,545,72.926
18,0,17796,146.329
18,22,623,71.98
19,0,17942,145.615
19,23,596,71.879
20,0,17940,144.266
20,33,1,0.03
20,92,518,72.885
21,0,17925,145.159
21,42,510,73.618
22,0,18129,147.86
22,92,541,76.319
23,0,17788,143.714
23,25,1,0.038
23,31,503,65.227
24,0,17856,144.542
24,88,5,0.216
24,166,540,73.462
25,0,18315,147.625
25,66,557,75.908
26,0,18026,146.126
26,23,653,71.423
26,149,1,0.045
27,0,18096,146.135
27,28,560,71.84
28,0,17858,143.325
28,90,535,72.726
29,0,18209,149.367
29,40,508,70.454
30,0,17953,144.795
30,53,501,72.965
31,0,18198,147.891
31,126,2,0.022
31,202,507,75.388
32,0,18008,146.254
32,39,1,0.014
32,169,559,74.272
33,0,18091,146.874
33,20,2,0.058
33,145,493,69.601
34,0,17968,146.594
34,249,538,74.526
35,0,18077,145.676
35,119,545,76.538
36,0,18206,147.83
36,48,524,72.346
37,0,17861,143.802
37,22,537,72.747
37,143,1,0.019
38,0,18013,147.286
38,18,638,75.869
38,70,1,0.012
39,0,17827,143.547
39,34,2,0.095
39,69,568,72.278
40,0,18091,144.886
40,49,629,74.12
41,0,17985,144.884
41,13,1,0.011
41,45,535,70.267
42,0,17930,144.416
42,40,554,71.331
43,0,18065,147.355
43,43,504,71.863
43,54,2,0.039
44,0,17842,145.744
44,64,533,72.437
45,0,17806,142.437
45,32,571,74.298
45,54,1,0.018
46,0,17818,143.034
46,23,563,76.536
47,0,18149,146.888
47,68,508,72.362
47,336,6,0.154
48,0,17890,144.516
48,140,562,75.578
49,0,17906,145.4
49,83,574,72.395
50,0,18025,145.212
50,11,3,0.07
50,16,551,73.995
50,71,1,0.008
51,0,17859,145.742
51,43,475,74.282
52,0,17909,145.5
52,200,534,71.83
53,0,17873,144.571
53,103,545,74.575
53,221,5,0.08
54,0,17988,146.023
54,34,506,72.267
55,0,17746,143.678
55,42,3,0.129
55,62,526,74.629
56,0,18088,146.843
56,46,488,71.738
56,121,1,0.012
57,0,18140,149.104
57,32,508,74.051
57,198,4,0.025
58,0,18078,144.483
58,38,509,72.069
58,130,1,0.038
59,0,17984,145.029
59,31,527,75.672
59,60,1,0.051
60,0,18131,147.196
60,61,5,0.08
60,247,536,73.168
61,0,17922,144.434
61,19,1,0.021
61,23,4,0.076
61,50,521,75.971
62,0,17992,144.752
62,48,550,71.523
62,303,1,0.091
