event_n,event_clusters,n_hits,energy_value
0,0,17627,142.024
0,164,676,99.568
1,0,17772,143.528
1,19,714,92.937
2,0,17810,144.577
2,90,626,99.349
2,95,4,0.154
3,0,17826,143.695
3,26,758,98.018
4,0,18020,144.876
4,208,737,92.84
5,0,17653,142.436
5,55,659,100.655
6,0,17979,144.705
6,153,785,100.472
7,0,17898,143.878
7,305,669,95.88
8,0,17777,143.422
8,19,1,0.017
8,93,719,97.669
8,131,2,0.135
9,0,17773,143.019
9,226,1,0.032
9,227,6,0.183
9,244,2,0.04
9,300,1,0.011
9,353,634,93.045
10,0,17686,143.242
10,12,2,0.018
10,103,645,98.82
11,0,17771,143.368
11,33,1,0.008
11,209,637,100.926
12,0,17955,144.892
12,99,617,89.295
13,0,17615,141.246
13,167,623,99.739
14,0,17500,140.938
14,66,633,100.008
14,484,2,0.016
15,0,17982,145.014
15,158,556,98.31
15,268,1,0.055
16,0,17927,144.907
16,41,623,101.08
17,0,17761,143.086
17,18,773,100.195
17,45,1,0.009
18,0,17955,145.384
18,42,642,96.442
19,0,17715,142.702
19,88,641,96.427
20,0,17612,142.052
20,53,1,0.054
20,74,3,0.06
20,218,627,93.335
21,0,17882,143.77
21,85,1,0.007
21,141,9,0.199
21,284,636,99.067
22,0,17888,144.029
22,45,661,98.972
23,0,18017,145.834
23,60,702,99.221
24,0,17747,142.841
24,32,664,92.489
25,0,17916,145.273
25,32,651,100.064
25,40,1,0.013
26,0,17675,140.607
26,17,741,99.63
27,0,18097,143.984
27,113,1,0.018
27,131,678,100.458
28,0,17831,144.483
28,208,600,96.742
29,0,17779,143.813
29,31,4,0.122
29,102,641,101.938
29,120,1,0.052
29,480,4,0.023
29,693,3,0.019
30,0,17633,141.882
30,133,644,96.405
30,168,1,5.681
31,0,17837,144.822
31,18,9,0.076
31,66,695,96.377
31,92,5,0.032
32,0,17939,144.935
32,306,627,98.194
33,0,17492,141.897
33,111,684,99.334
34,0,17870,143.18
34,41,625,98.408
35,0,17951,144.21
35,35,1,0.006
35,37,616,97.927
36,0,17787,143.47
36,102,1,0.023
36,268,626,99.415
37,0,17970,144.31
37,53,643,98.409
37,87,3,0.068
37,190,3,0.098
38,0,17818,143.534
38,133,590,101.834
39,0,17729,143.498
39,23,1,0.006
39,291,642,99.218
40,0,17813,143.378
40,136,634,99.016
41,0,17877,145.121
41,372,666,94.801
42,0,18171,147.051
42,11,1,0.031
42,108,740,97.184
43,0,17883,143.992
43,121,679,97.479
44,0,17816,143.858
44,156,2,0.021
44,307,653,98.2
45,0,18247,148.916
45,34,677,97.822
46,0,17810,143.226
46,3,7,0.058
46,8,5,0.048
46,16,1,0.006
46,228,685,97.125
47,0,17988,146.692
47,26,2,0.021
47,50,706,98.55
48,0,17845,144.768
48,38,649,98.208
48,56,3,0.085
49,0,17813,145.031
49,117,636,100.929
50,0,18090,145.463
50,30,4,0.039
50,33,5,0.178
50,104,753,98.413
51,0,17798,143.478
51,101,720,96.824
51,653,4,0.025
52,0,17781,143.761
52,157,633,96.749
53,0,17726,141.598
53,66,603,98.664
53,125,1,0.031
54,0,17652,143.556
54,19,6,0.231
54,158,649,93.459
55,0,17789,143.412
55,10,5,0.039
55,19,7,0.065
55,41,1,0.013
55,74,679,99.374
56,0,17550,142.842
56,55,1,0.015
56,406,636,94.64
57,0,17802,144.064
57,303,583,95.282
58,0,17811,142.684
58,77,3,0.041
58,239,640,98.612
59,0,17735,142.821
59,55,618,95.492
60,0,18108,146.062
60,161,1,0.014
60,177,1,4.581
60,283,618,94.234
61,0,17768,143.853
61,6,1,0.035
61,12,4,0.127
61,126,1,0.006
61,140,802,100.971
62,0,17747,141.947
62,35,661,96.816
63,0,17863,145.136
63,36,1,0.006
63,207,671,99.479
64,0,17881,143.883
64,45,627,93.484
65,0,17727,142.889
65,19,5,0.1
65,154,1,0.006
65,187,615,95.951
66,0,17690,143.393
66,52,689,99.155
67,0,18101,146.875
67,100,642,93.887
67,171,1,4.925
67,188,2,0.037
67,659,2,0.033
68,0,17826,143.346
68,84,627,99.37
